field,files_present,rows,finite_rows,missing_rows,missing_rate,zero_rows,zero_rate_among_finite,positive_rows,negative_rows,late_missing_rows,late_missing_rate,min,max,constant_batch_rate,mean_batch_sample_mode_rate,max_batch_sample_mode_rate,max_batch_sample_mode_value,assessment
macd,1397,401237285,401233356,3929,9.792210611733154e-06,66575303,0.16592664095454715,167247874,167410179,2081,7.763578768809447e-06,-2.9106070298394426,2.3986934721220448,0.0002933411557641537,0.16600627200146995,1.0,-0.00010973278628604723,ok
macd_f24_s52_sig18,1227,367753950,367750021,3929,1.068377375688283e-05,66006574,0.17948761449560868,150437631,151305816,2081,8.470438637248479e-06,-2.3348393028606997,2.650688274697793,0.00016059097478721696,0.1795603045879089,1.0,-4.699355085164468e-05,ok
macd_f6_s13_sig5,1227,367753950,367750021,3929,1.068377375688283e-05,66006575,0.17948761721484716,150720934,151022512,2081,8.470438637248479e-06,-2.6666612530448117,2.3531596566139314,0.00016059097478721696,0.1795603045879089,1.0,-1.4476622245585815e-05,ok
market_efficiency,1397,401237285,319654532,81582753,0.20332794595596967,0,0.0,319654532,0,2451,9.143936358650627e-06,0.846520846828491,1.0,0.00044001173364623054,0.24891606988753429,1.0,0.9999962245040503,likely_session_warmup
market_efficiency_w30,1227,367753950,323497767,44256183,0.12034182909524153,0,0.0,323497767,0,2251,9.162401428374016e-06,0.7127333499530832,1.0,0.0003211819495744339,0.3412097159302678,1.0,0.9999876848807281,ok
market_efficiency_w80,1227,367753950,247200904,120553046,0.32780897662689956,0,0.0,247200904,0,2952,1.2015730349426964e-05,0.891619658581319,1.0,0.0003211819495744339,0.20661756437574835,1.0,0.99999863680809,likely_session_warmup
market_impact,1397,401237285,319654532,81582753,0.20332794595596967,183704525,0.5746970764049734,66399804,69550203,2451,9.143936358650627e-06,-11094321884.145727,11086476303.649796,0.0014667057788207685,0.579458234601277,1.0,0.0,likely_session_warmup
market_impact_w10,1227,367753950,354016561,13737389,0.03735483738515929,209724508,0.5924143983761256,70547751,73744302,2117,8.61697193419271e-06,-5606147770.549044,6032604655.714004,0.0011241368235105186,0.5899146526440782,1.0,0.0,ok
market_impact_w20,1227,367753950,338757161,28996789,0.07884834139782863,164863735,0.486672324544602,84354934,89538492,2169,8.828631140889933e-06,-5607792670.073993,5648715580.812419,0.00048177292436165086,0.48672046725219253,1.0,0.0,ok
momentum_acceleration,1397,401237285,319654532,81582753,0.20332794595596967,231196809,0.723270862307061,44404890,44052833,2451,9.143936358650627e-06,-0.3015004358815425,0.3076117743482869,0.0027867409797594604,0.7147209433522106,1.0,0.0,likely_session_warmup
momentum_acceleration_w10,1227,367753950,354016561,13737389,0.03735483738515929,263958446,0.745610446173449,45170755,44887360,2117,8.61697193419271e-06,-1.8765984226881947,2.645671313484931,0.0016059097478721696,0.7329051130245876,1.0,0.0,ok
momentum_acceleration_w20,1227,367753950,338757161,28996789,0.07884834139782863,252959585,0.7467283769094994,43056657,42740919,2169,8.828631140889933e-06,-0.5773402693628421,0.5473408036603312,0.0017665007226593866,0.7447577859311368,1.0,0.0,ok
moving_average,1397,401237285,369600731,31636554,0.07884749294921582,0,0.0,369600731,0,2169,8.091880033420322e-06,0.13074999999999998,166.10065,0.00044001173364623054,0.025139928820792957,1.0,0.5710999999999999,ok
moving_average_w10,1227,367753950,354016561,13737389,0.03735483738515929,0,0.0,354016561,0,2117,8.61697193419271e-06,0.1305,166.83200000000002,0.0003211819495744339,0.029241940709138978,1.0,0.5706,ok
moving_average_w40,1227,367753950,308238384,59515566,0.16183528688135096,0,0.0,308238384,0,2342,9.532805040094155e-06,0.130975,164.57175,0.0003211819495744339,0.024859853530528657,1.0,0.57115,ok
obv,1397,401237285,401237285,0,0.0,67902841,0.16923362692976052,162111430,171223014,0,0.0,-4675686000.0,5339506172.0,0.0002933411557641537,0.16932532706080505,1.0,3835900.0,ok
obv_delta_w20,1227,367753950,337231221,30522729,0.08299769179909557,128734525,0.3817396402926762,100641068,107855628,2177,8.861194095766429e-06,-1091106246.0,1256080482.0,0.0003211819495744339,0.38184198231276145,1.0,-494000.0,ok
obv_delta_w5,1227,367753950,360120321,7633629,0.02075743578009155,212689664,0.590607226521938,72081778,75348879,2101,8.551846024439719e-06,-778123500.0,1105072020.0,0.00048177292436165086,0.5879323711469154,1.0,0.0,ok
obv_delta_w50,1227,367753950,291453075,76300875,0.20747805699979566,75429132,0.258803692498355,103942899,112081044,2463,1.0025319732601155e-05,-1914293516.0,1486745973.0,0.0003211819495744339,0.2590739941339392,1.0,-489500.0,likely_session_warmup
order_flow_imbalance,1397,401237285,319654532,81582753,0.20332794595596967,76525035,0.23939918674451954,118209890,124919607,2451,9.143936358650627e-06,-0.9999999999999998,0.9999999999999999,0.00044001173364623054,0.2391289488277302,1.0,-0.9008142116783675,likely_session_warmup
order_flow_imbalance_w10,1227,367753950,354016561,13737389,0.03735483738515929,176405709,0.49829790024992643,86652552,90958300,2117,8.61697193419271e-06,-0.9999999999999998,0.9999999999999996,0.0006423638991488678,0.4951366601436568,1.0,0.0,ok
order_flow_imbalance_w20,1227,367753950,338757161,28996789,0.07884834139782863,131137519,0.3871136439238254,100874806,106744836,2169,8.828631140889933e-06,-0.9999999999999998,0.9999999999999996,0.0003211819495744339,0.38697551889523957,1.0,-0.9366704588369964,ok
orderbook_asymmetry,1397,401237285,319654532,81582753,0.20332794595596967,126578761,0.3959861298009064,79883529,113192242,2451,9.143936358650627e-06,-0.9998774209366538,11098.889001055886,0.0014667057788207685,0.39632446036678337,1.0,0.0,likely_session_warmup
orderbook_asymmetry_w10,1227,367753950,354016561,13737389,0.03735483738515929,252723321,0.7138742896268064,29555886,71737354,2117,8.61697193419271e-06,-0.9999100719425265,11098.889001055886,0.01830737112574273,0.7121480251817398,1.0,0.0,ok
orderbook_asymmetry_w20,1227,367753950,338757161,28996789,0.07884834139782863,197683527,0.5835552713231057,48561351,92512283,2169,8.828631140889933e-06,-0.9996454529345038,11098.889001055886,0.006584229966275896,0.5860430996480575,1.0,0.0,ok
orderbook_pressure,1397,401237285,319654532,81582753,0.20332794595596967,117340837,0.3670864175327882,97172924,105140771,2451,9.143936358650627e-06,-0.9999999996296296,0.9999999995833333,0.00044001173364623054,0.3659488970849103,1.0,-0.1111111109876543,likely_session_warmup
orderbook_pressure_w10,1227,367753950,354016561,13737389,0.03735483738515929,212386197,0.5999329421201851,69519902,72110462,2117,8.61697193419271e-06,-0.9999999988888888,0.9999999988888888,0.0006423638991488678,0.5969665519153114,1.0,0.0,ok
orderbook_pressure_w20,1227,367753950,338757161,28996789,0.07884834139782863,170718735,0.503956092016015,81771194,86267232,2169,8.828631140889933e-06,-0.9999999994736841,0.9999999994736841,0.0003211819495744339,0.5036792106091209,1.0,-0.1999999996,ok
orderflow_significance,1397,401237285,319654532,81582753,0.20332794595596967,76346915,0.23884196016967468,118099556,125208061,2451,9.143936358650627e-06,-6.999999020000138,6.9999990200001365,0.00044001173364623054,0.24993657496398908,1.0,-6.305698599080303,likely_session_warmup
orderflow_significance_w30,1227,367753950,323497767,44256183,0.12034182909524153,105799017,0.3270471322913336,105475456,112223294,2251,9.162401428374016e-06,-5.385164227134567,5.385164227134562,0.0003211819495744339,0.33914293436109405,1.0,-5.044253527394436,ok
orderflow_significance_w80,1227,367753950,247200904,120553046,0.32780897662689956,49762504,0.20130389167185248,95903991,101534409,2952,1.2015730349426964e-05,-8.88819283731587,8.888192837315852,0.0003211819495744339,0.21209159118415508,1.0,-7.883956675948099,likely_session_warmup
parkinson_volatility,1397,401237285,369600730,31636555,0.07884749544150664,217673960,0.5889435337424793,151926770,0,2170,8.095610729609083e-06,0.0,0.08146429049282312,0.0023467292461132297,0.5888936859483646,1.0,0.0,ok
parkinson_volatility_w10,1227,367753950,354016560,13737390,0.037354840104368695,242596861,0.6852698105421962,111419699,0,2118,8.621042303552272e-06,0.0,0.09639286073232664,0.007226593865424763,0.6822515544297804,1.0,0.0,ok
parkinson_volatility_w40,1227,367753950,308238383,59515567,0.16183528960056037,172423937,0.5593850296054791,135814446,0,2343,9.536875409453718e-06,0.0,0.0757963316640108,0.0014453187730849527,0.5593581206076932,1.0,0.0,ok
price_momentum,1397,401237285,367935856,33301429,0.08299684561966868,161998913,0.44029118216736124,101991876,103945067,2177,8.121725602930402e-06,-0.4869565217391304,0.31506849315068486,0.00044001173364623054,0.4402694873629858,1.0,-0.0017513134851138146,ok
price_momentum_w10,1227,367753950,352490621,15263329,0.04150418778642622,196270700,0.5568111271817358,77644184,78575737,2121,8.633253411630959e-06,-0.4869565217391304,0.31506849315068486,0.0003211819495744339,0.5568419324993428,1.0,-0.0017513134851138146,ok
